OBJECTID,DIST_NAME,NAME,ENGLISH,PROV,pop2000,pop2010,pct2000,pct2010,joinCode,Area_sqkm,popPerSqKm,radius,Shape_Leng,Shape_Area
1,,鍖椾含,Beijing,Beijing,13569194,19612368,1.09,1.46,110000,16481,5.31823245413,-53182.3245413,8.49789857639,1.73321067291
2,,杈藉畞,Liaoning,Liaoning,41824412,43746323,3.35,3.27,210000,149305,2.38427197641,-23842.7197641,45.7614407559,15.659036861
3,,鍚夋灄,Jilin,Jilin,26802191,27462297,2.16,2.05,220000,199002,3.79804835699,-37980.4835699,41.1858738584,21.3145167783
4,榛戦緳姹熺渷,,Heilongjiang,Heilongjiang,36237576,38312224,2.91,2.86,230000,472990,2.72245046385,-27224.5046385,68.4886549446,54.4471150734
5,,娌冲崡,Henan,Henan,91236854,94023567,7.31,7.02,410000,165826,1.10932966413,-11093.2966413,30.9115081257,16.1350476492
6,,婀栧寳,Hubei,Hubei,59508870,57237740,4.76,4.27,420000,186442,1.82227900682,-18222.7900682,34.3209302875,17.5625037383
7,,婀栧崡,Hunan,Hunan,63274173,65683722,5.09,4.9,430000,211883,1.58796013417,-15879.6013417,32.8010557206,19.3901819823
8,,骞胯タ,Guangxi,Guangxi,43854538,46026629,3.55,3.44,450000,237251,2.2661475382,-22661.475382,42.558271978,20.9407968179
9,,娴峰崡,Hainan,Hainan,7559035,8671518,0.62,0.65,460000,33873,12.0282437285,-120282.437285,15.7392979716,2.90638278886
10,,閲嶅簡,Chongqing,Chongqing,30512763,28846170,2.44,2.15,500000,82654,3.61583988446,-36158.3988446,26.0117075058,7.71598606164
11,,鍥涘窛,Sichuan,Sichuan,82348296,80418200,6.58,6,510000,493363,1.29700903527,-12970.0903527,58.6355425597,45.5343587486
12,,璐靛窞,Guizhou,Guizhou,35247695,34746468,2.78,2.59,520000,176378,3.0018340857,-30018.340857,32.9155659047,15.975409593
13,,浜戝崡,Yunnan,Yunnan,42360089,45966239,3.39,3.43,530000,392874,2.26912478091,-22691.2478091,57.5377234526,34.2763551789
14,,瑗胯棌,Tibet,Xizang,2616329,3002166,0.21,0.22,540000,1501083,34.7426264903,-347426.264903,76.629133484,114.330928749
15,,闄曡タ,Shaanxi,Shaanxi,35365072,37327378,2.85,2.79,610000,206229,2.79427963036,-27942.7963036,38.5711399153,20.3936095808
16,,鐢樿們,Gansu,Gansu,25124282,25575254,2.02,1.91,620000,412504,4.0782833281,-40782.833281,76.7811849014,41.5077247572
17,,闈掓捣,Qinghai,Qinghai,4822963,5626722,0.41,0.42,630000,803817,18.5371041967,-185371.041967,59.5622952877,71.3630238775
18,,澶╂触,Tianjin,Tianjin,9848731,12938224,0.79,0.97,120000,11709,8.06162669621,-80616.2669621,7.26261816369,1.21366661628
19,,娌冲寳,Hebei,Hebei,66684419,71854202,5.33,5.36,130000,188100,1.45159404874,-14515.9404874,47.4041831631,19.6365594817
20,,灞辫タ,Shanxi,Shanxi,32471242,35712111,2.6,2.67,140000,156632,2.92066554117,-29206.6554117,24.7842446991,15.9610698247
21,鍐呰挋鍙よ嚜娌诲尯,,Inner Mongolia,Neimeng,23323347,24706321,1.88,1.84,150000,1176491,4.22171848249,-42217.1848249,129.933359335,129.112549337
22,,涓婃捣,Shanghai,Shanghai,16407734,23019148,1.32,1.72,310000,6405,4.53114650464,-45311.4650464,6.46109550363,0.59144676318
23,,姹熻嫃,Jiangsu,Jiangsu,73043577,78659903,5.88,5.87,320000,102555,1.3260012792,-13260.012792,28.5368661118,9.74103972942
24,,娴欐睙,Zhejiang,Zhejiang,45930651,54426891,3.69,4.06,330000,103868,1.91638967583,-19163.8967583,47.0864423009,9.45627397915
25,,瀹夊窘,Anhui,Anhui,58999948,59500510,4.73,4.44,340000,141668,1.75297878959,-17529.7878959,29.4916157276,13.3650533641
26,,绂忓缓,Fujian,Fujian,34097947,36894216,2.74,2.75,350000,122981,2.82708628366,-28270.8628366,53.7679709146,10.9753351413
27,,姹熻タ,Jiangxi,Jiangxi,40397598,44567475,3.27,3.33,360000,168179,2.34034196463,-23403.4196463,26.6683991438,15.2772646551
28,,灞变笢,Shandong,Shandong,89971789,95793065,7.17,7.15,370000,155005,1.0888380281,-10888.380281,45.5999172051,15.4067999694
29,,瀹佸,Ningxia,Ningxia,5486393,6301350,0.44,0.47,640000,52077,16.5525057329,-165525.057329,18.5204073804,5.27177525927
30,鏂扮枂缁村惥灏旇嚜娌诲尯,鏂扮枂,Xinjiang,Xinjiang,18459511,21813334,1.52,1.63,650000,1817778,4.78162265337,-47816.2265337,84.9053256197,175.590676207
31,,鍙版咕,Taiwan,Taiwan,22280000,23162123,0,0,710000,37000,4.5031766734,-45031.766734,15.2984215015,3.1940450882
32,,棣欐腐,Hong Kong,Xianggang,6780000,7097600,0,0,810000,1064,14.6955494815,-146955.494815,6.18307702246,0.0930534952252
33,,婢抽棬,Macau,Aomen,440000,552300,0,0,820000,29,188.852312149,-1888523.12149,0.36144361333,0.00203850941531
34,,骞夸笢,Guangdong,Guangdong,85225007,104303132,6.83,7.79,440000,177085,0,0,63.6007995716,15.6080994425
